step,time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,altitude,vertical_vel,g_raw_x,g_raw_y,g_raw_z,g_raw_mag,g_eff_x,g_eff_y,g_eff_z,g_eff_mag,c,k,phi,phase_error,lock_quality,omega_drive,omega_0,drive_power,energy,grav_power
0,0,0,0,6371999.999975455,0,0,-0.00245448989683605,999.9999754549935,-0.00245448989683605,0,0,-9.816891441645398,9.816891441645398,0,0,-0.245448989683605,0.245448989683605,0.02500272017294158,0.007740285809491904,0.3994009893548816,0.3494009893548816,0.982,82.68339959824549,80,3843.305824811042,1699961.566941752,0.722942478440429
10,0.1,0,0,6371999.996859306,0,0,-0.06037948290763122,999.9968593064696,-0.06037948290763122,0,0,-9.816891449462238,9.816891449462238,0,0,-0.8803158395657013,0.8803158395657013,0.08967358395451386,0.0848568259394164,0.3844788542966966,-0.1655211457033033,0.9880480232566957,78.90346108685503,80,4509.969603962764,1699541.073711379,63.78361822604914
20,0.2,0,0,6371999.982482929,0,0,-0.2383389028598232,999.9824829287827,-0.2383389028598232,0,0,-9.816891488276193,9.816891488276193,0,0,-2.584701086789686,2.584701086789686,0.2632911945575095,0.1611579622672317,0.579550705837752,-0.4704492941622487,0.8515312195757668,75.99102113574551,80,5237.543824546988,1699050.559752381,739.2417854952557
30,0.3,0,0,6371999.941551198,0,0,-0.5567177612547178,999.9415511982515,-0.5567177612547178,0,0,-9.816891604587385,9.816891604587385,0,0,-3.285074658046003,3.285074658046003,0.3346349119828219,0.2313531896009566,0.8897895242567317,-0.660210475743269,0.7788007830714049,75,80,6023.968087641495,1698484.01834744,2194.631291018374
40,0.4,0,0,6371999.868187059,0,0,-0.8747531340759689,999.868187058717,-0.8747531340759689,0,0,-9.816891820841821,9.816891820841821,0,0,-3.056476745462528,3.056476745462528,0.311348724346076,0.2877367709849395,1.156777115653779,-0.8932228843462213,0.7788007830714049,75,80,6500,1697845.46108813,3208.395134788397
50,0.5,0,0,6371999.764794259,0,0,-1.157302167732724,999.7647942593321,-1.157302167732724,0,0,-9.816892130715781,9.816892130715781,0,0,-2.610256259687455,2.610256259687455,0.265894360957711,0.3246027897985548,1.39306227459733,-1.156937725402669,0.7788007830714049,75,80,6500,1697195.46108813,3625.026273209043
60,0.6,0,0,6371999.635895038,0,0,-1.388489962353787,999.6358950380236,-1.388489962353787,0,0,-9.816892520764236,9.816892520764236,0,0,-2.063951598122792,2.063951598122792,0.2102449012003765,0.3391947905996042,1.612275896829432,-1.437724103170565,0.7788007830714049,75,80,6500,1696545.46108813,3438.931292133065
70,0.7000000000000001,0,0,6371999.486853473,0,0,-1.566305571113924,999.4868534728885,-1.566305571113924,0,0,-9.816892974521043,9.816892974521043,0,0,-1.560193831206886,1.560193831206886,0.1589294938078926,0.3328921003964492,1.813353426878518,-1.328239226711275,0.7788007830714049,75,80,6500,1695895.46108813,2932.488347804308
80,0.8,0,0,6371999.322509322,0,0,-1.701407623462214,999.3225093223155,-1.701407623462214,0,0,-9.816893476745243,9.816893476745243,0,0,-1.20854474343036,1.20854474343036,0.1231086744796837,0.3084779043738634,1.991384542369523,-1.15020811122027,0.7788007830714049,75,80,6500,1695245.46108813,2467.472687721119
90,0.9,0,0,6371999.146144255,0,0,-1.812596058549539,999.1461442550644,-1.812596058549539,0,0,-9.816894016745893,9.816894016745893,0,0,-1.065547268622351,1.065547268622351,0.1085421994782377,0.2700612656236078,2.136056774858855,-1.005535878730938,0.7788007830714049,75,80,6500,1694595.46108813,2317.688135163721
