step,time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,altitude,vertical_vel,g_raw_x,g_raw_y,g_raw_z,g_raw_mag,g_eff_x,g_eff_y,g_eff_z,g_eff_mag,c,k,phi,phase_error,lock_quality,omega_drive,omega_0,drive_power,energy,grav_power
0,0,0,0,6371999.996073243,0,0,-0.196337828832908,999.9960732432082,-0.196337828832908,0,0,-9.816891441645398,9.816891441645398,0,0,-9.816891441645398,9.816891441645398,1,0,0,0,0,80,80,0,0,2312.912581849216
5,0.1,0,0,6371999.917538111,0,0,-1.178026981466996,999.9175381110981,-1.178026981466996,0,0,-9.816891623135716,9.816891623135716,0,0,-9.816891623135716,9.816891623135716,1,0,0,0,0,80,80,0,0,13877.47584742944
10,0.2,0,0,6371999.74083406,0,0,-2.159716170399149,999.7408340601251,-2.159716170399149,0,0,-9.816892107109934,9.816892107109934,0,0,-9.816892107109934,9.816892107109934,1,0,0,0,0,80,80,0,0,25442.04075214692
15,0.3,0,0,6371999.465961088,0,0,-3.141405425877763,999.4659610884264,-3.141405425877763,0,0,-9.816892893568125,9.816892893568125,0,0,-9.816892893568125,9.816892893568125,1,0,0,0,0,80,80,0,0,37006.60872133891
20,0.4,0,0,6371999.092919186,0,0,-4.123094778151239,999.0929191857576,-4.123094778151239,0,0,-9.816893982510424,9.816893982510424,0,0,-9.816893982510424,9.816893982510424,1,0,0,0,0,80,80,0,0,48571.18118034366
25,0.5,0,0,6371998.621708341,0,0,-5.104784257468003,998.6217083409429,-5.104784257468003,0,0,-9.816895373937017,9.816895373937017,0,0,-9.816895373937017,9.816895373937017,1,0,0,0,0,80,80,0,0,60135.75955450098
30,0.6,0,0,6371998.052328538,0,0,-6.086473894076495,998.0523285381496,-6.086473894076495,0,0,-9.816897067848139,9.816897067848139,0,0,-9.816897067848139,9.816897067848139,1,0,0,0,0,80,80,0,0,71700.34526915255
35,0.7000000000000001,0,0,6371997.384779762,0,0,-7.068163718225185,997.3847797615454,-7.068163718225185,0,0,-9.81689906424408,9.81689906424408,0,0,-9.81689906424408,9.81689906424408,1,0,0,0,0,80,80,0,0,83264.93974964254
40,0.8,0,0,6371996.61906199,0,0,-8.049853760162575,996.6190619897097,-8.049853760162575,0,0,-9.816901363125176,9.816901363125176,0,0,-9.816901363125176,9.816901363125176,1,0,0,0,0,80,80,0,0,94829.54442131797
45,0.9,0,0,6371995.755175198,0,0,-9.031544050137205,995.7551751984283,-9.031544050137205,0,0,-9.816903964491814,9.816903964491814,0,0,-9.816903964491814,9.816903964491814,1,0,0,0,0,80,80,0,0,106394.1607095293
50,1,0,0,6371994.793119361,0,0,-10.01323461839766,994.7931193606928,-10.01323461839765,0,0,-9.816906868344445,9.816906868344445,0,0,-9.816906868344445,9.816906868344445,1,0,0,0,0,80,80,0,0,117958.7900396308
55,1.1,0,0,6371993.732894449,0,0,-10.99492549519255,993.7328944485635,-10.99492549519255,0,0,-9.816910074683552,9.816910074683552,0,0,-9.816910074683552,9.816910074683552,1,0,0,0,0,80,80,0,0,129523.433836981
60,1.2,0,0,6371992.574500429,0,0,-11.97661671077058,992.574500429444,-11.97661671077058,0,0,-9.816913583509677,9.816913583509677,0,0,-9.816913583509677,9.816913583509677,1,0,0,0,0,80,80,0,0,141088.0935269432
65,1.3,0,0,6371991.317937266,0,0,-12.95830829538047,991.3179372660816,-12.95830829538046,0,0,-9.81691739482342,9.81691739482342,0,0,-9.81691739482342,9.81691739482342,1,0,0,0,0,80,80,0,0,152652.7705348861
70,1.4,0,0,6371989.963204919,0,0,-13.94000027927102,989.9632049193606,-13.94000027927102,0,0,-9.816921508625429,9.816921508625429,0,0,-9.816921508625429,9.816921508625429,1,0,0,0,0,80,80,0,0,164217.4662861841
75,1.5,0,0,6371988.510303349,0,0,-14.9216926926911,988.5103033492342,-14.9216926926911,0,0,-9.816925924916397,9.816925924916397,0,0,-9.816925924916397,9.816925924916397,1,0,0,0,0,80,80,0,0,175782.1822062178
80,1.6,0,0,6371986.95923251,0,0,-15.90338556588966,986.9592325100675,-15.90338556588966,0,0,-9.816930643697072,9.816930643697072,0,0,-9.816930643697072,9.816930643697072,1,0,0,0,0,80,80,0,0,187346.9197203743
85,1.7,0,0,6371985.309992355,0,0,-16.88507892911571,985.3099923552945,-16.88507892911571,0,0,-9.816935664968252,9.816935664968252,0,0,-9.816935664968252,9.816935664968252,1,0,0,0,0,80,80,0,0,198911.680254048
90,1.8,0,0,6371983.562582833,0,0,-17.86677281261836,983.5625828327611,-17.86677281261836,0,0,-9.816940988730792,9.816940988730792,0,0,-9.816940988730792,9.816940988730792,1,0,0,0,0,80,80,0,0,210476.4652326409
