step,time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,altitude,vertical_vel,metric_model,ship_type,c,k,phi,phase_error,lock_quality,omega_drive,omega_0,drive_power,energy,metric_g00,metric_det,metric_signature_valid,christoffel_norm,invariant_error,coordinate_time,proper_time,beta_x,beta_y,beta_z,lapse_alpha,drive_authority,drive_phase_rad,drive_frequency_hz,drive_omega_rad_s,drive_coherence,drive_lock_quality,mode_count,bubble_radius,wall_thickness,einstein_tensor_norm,stress_energy_density,instantaneous_stress_energy_density,cycle_avg_stress_energy_density,cockpit_curvature_norm,bubble_wall_curvature_norm,cockpit_tidal_stress,bubble_wall_tidal_stress,phase_cancellation_score,phase_confinement_score,negative_energy_flag,nec_violation_flag,negative_energy_instant,negative_energy_cycle_avg,nec_violation_instant,nec_violation_cycle_avg,curvature_scalar,geodesic_accel_diagnostic_x,geodesic_accel_diagnostic_y,geodesic_accel_diagnostic_z,metric_derivative_step_m,craft_rest_energy_j,craft_coordinate_energy_j,craft_kinetic_energy_j,craft_energy_delta_j,conserved_energy_j,conserved_energy_error_j,drive_energy_available_j,drive_energy_spent_j,drive_power_w,drive_power_requested_w,drive_power_actual_w,requested_drive_authority,actual_drive_authority,estimated_metric_energy_j,estimated_field_energy_delta_j,estimated_positive_energy_j,estimated_negative_energy_j,estimated_stress_energy_cost_j,positive_energy_j,negative_energy_j,net_stress_energy_j,absolute_stress_energy_j,unfunded_energy_debt_j,conservation_error_j,conservation_error_ratio,stress_energy_conservation_residual,stress_energy_conservation_valid,power_clamped,metric_unfunded,metric_valid,power_source_type,resonator_substrate_type,exotic_stress_source_type,source_available_energy_j,source_max_power_w,usable_power_w,conversion_efficiency,waste_heat_w,radiation_loss_w,source_mass_kg,depletion_rate,stability_risk,physical_plausibility_rating,resonator_coherence_multiplier,resonator_phase_stability,resonator_coupling_efficiency,resonator_max_safe_authority,moscovium_metastable,moscovium_stabilization_required,exotic_negative_energy_capacity_j,exotic_stress_shaping_authority
0,0,0,0,6371999.997228285,0,0,-0.3326068948321341,999.9972282852978,-0.3326068948321341,engineered_metric,saucer,0,0,0,0,0,80,80,0,0,-0.999999998608003,-1.000000002783993,1,1.2362920367614e-15,16,0.0166667,0.01666669999339917,0,0,5.87542321611756e-17,0.9999999993040015,6.158335805287682e-13,0.41887985823668,4,25.13274122871834,0.9974999999999999,0.9974999999999999,1,20,5,1.005349704303947e-15,-4.276982211341059e+27,-4.276982211341059e+27,-4.276982211340962e+27,1.221245323378527e-15,1.387778776457956e-15,1.958998761887138e-15,2.287086112622379e-15,0.996802520015255,0.5319148935975457,1,1,1,1,1,1,-1.55431222952985e-15,0,0,-19.9563737771805,0.5,1.078506214484181e+20,1.078506213733542e+20,0,-1078325329920,1.078506213733542e+20,-1078325329920,9.999833333e+17,16666700000000,1000000000000000,2.636776179581083e+39,1000000000000000,1,6.158335805287682e-13,-1.749548909635033e+32,-1.749548909635033e+32,3.499097819270014e+31,-2.099458691562034e+32,2.449368473489036e+32,3.499097819270014e+31,-2.099458691562034e+32,-1.749548909635033e+32,2.449368473489036e+32,0,-1.749548909635033e+32,-1,474850384323.3343,1,1,1,1,fusion,metastable_moscovium,,1e+18,1000000000000000,200000000000000,0.2,1000000000,100000000,5000,0,0.8,0.05,1.05,0.95,0.8,1,1,1,0,0
1,0.0166667,0,0,6371999.98891311,0,0,-0.6652137882083454,999.988913109526,-0.6652137882083453,engineered_metric,saucer,0,0,0,0,0,80,80,0,0,-0.999999998608003,-1.000000002783993,1,1.236292036564861e-15,16,0.0333334,0.03333339998179917,0,0,5.356546625395923e-17,0.9999999993040015,6.436623913688672e-13,0.83775971647336,4,25.13274122871834,0.9974999999999999,0.9974999999999999,1,20,5,1.0053497042384e-15,-4.276982211341228e+27,-4.276982211341228e+27,-4.276982211341078e+27,1.221245323378415e-15,1.387778776461321e-15,1.958998761841382e-15,2.287086080566647e-15,0.996802520015255,0.5319148935986245,1,1,1,1,1,1,-1.554312229529841e-15,-0,-0,-19.95637373256602,0.5,1.078506214484181e+20,1.078506213733542e+20,0,0,1.078506213733542e+20,-1078325329920,9.999666666e+17,33333400000000,1000000000000000,2.413702449412907e+39,1000000000000000,1,6.436623913688672e-13,-1.749548944620417e+32,-3.498538468260829e+24,3.499097889237914e+31,-2.099458733544209e+32,2.449368522468e+32,3.499097889237914e+31,-2.099458733544209e+32,-1.749548944620417e+32,2.449368522468e+32,0,-3.498538468295241e+24,-1,474818247207.6545,1,1,1,1,fusion,metastable_moscovium,,1e+18,1000000000000000,200000000000000,0.2,1000000000,100000000,5000,0,0.8,0.05,1.05,0.95,0.8,1,1,1,0,0
2,0.0333334,0,0,6371999.975054474,0,0,-0.9978206799640512,999.9750544736162,-0.9978206799640512,engineered_metric,saucer,0,0,0,0,0,80,80,0,0,-0.999999998608003,-1.000000002783993,1,1.236292036349719e-15,16,0.0500001,0.05000009997019923,0,0,4.816066397329211e-17,0.9999999993040015,7.379238378086718e-13,1.25663957471004,4,25.13274122871834,0.9974999999999999,0.9974999999999999,1,20,5,1.00534970417749e-15,-4.276982211341356e+27,-4.276982211341356e+27,-4.276982211341237e+27,1.221245323378301e-15,1.387778776464617e-15,1.958998761798294e-15,2.287086050346671e-15,0.996802520015255,0.5319148935986648,1,1,1,1,1,1,-1.554312229529825e-15,-0,-0,-19.95637362490735,0.5,1.078506214484181e+20,1.078506213733542e+20,0,0,1.078506213733542e+20,-1078325329920,9.999499999e+17,50000100000000,1000000000000000,1.836440745804835e+39,1000000000000000,1,7.379238378086718e-13,-1.749548944620694e+32,-2.767011611056433e+19,3.499097889235596e+31,-2.099458733544254e+32,2.449368522467813e+32,3.499097889235596e+31,-2.099458733544254e+32,-1.749548944620694e+32,2.449368522467813e+32,0,-2.767016611066433e+19,-1,474889987281.9911,1,1,1,1,fusion,metastable_moscovium,,1e+18,1000000000000000,200000000000000,0.2,1000000000,100000000,5000,0,0.8,0.05,1.05,0.95,0.8,1,1,1,0,0
3,0.0500001,0,0,6371999.955652378,0,0,-1.330427569875465,999.9556523775682,-1.330427569875465,engineered_metric,saucer,0,0,0,0,0,80,80,0,0,-0.999999998608003,-1.000000002783993,1,1.236292036089589e-15,16,0.0666668,0.06666679995859917,-0,0,4.20098587232802e-17,0.9999999993040015,9.409465244824886e-13,1.67551943294672,4,25.13274122871834,0.9974999999999999,0.9974999999999999,1,20,5,1.005349704117141e-15,-4.276982211341435e+27,-4.276982211341435e+27,-4.276982211341503e+27,1.221245323378178e-15,1.387778776468063e-15,1.958998761754918e-15,2.287086019887753e-15,0.996802520015255,0.531914893598485,1,1,1,1,1,1,-1.554312229529802e-15,-0,-0,-19.95637349473694,0.5,1.078506214484181e+20,1.078506213733542e+20,0,0,1.078506213733542e+20,-1078325329920,9.999333332e+17,66666800000000,1000000000000000,1.129458075864408e+39,1000000000000000,1,9.409465244824886e-13,-1.749548944620971e+32,-2.767011611056433e+19,3.499097889233279e+31,-2.099458733544299e+32,2.449368522467626e+32,3.499097889233279e+31,-2.099458733544299e+32,-1.749548944620971e+32,2.449368522467626e+32,0,-2.767018277736433e+19,-1,474829381516.669,1,1,1,1,fusion,metastable_moscovium,,1e+18,1000000000000000,200000000000000,0.2,1000000000,100000000,5000,0,0.8,0.05,1.05,0.95,0.8,1,1,1,0,0
4,0.0666668,0,0,6371999.930706821,0,0,-1.663034457472088,999.930706821382,-1.663034457472088,engineered_metric,saucer,0,0,0,0,0,80,80,0,0,-0.999999998608003,-1.000000002783993,1,1.23629203586714e-15,16,0.08333349999999999,0.08333349994699904,-0,0,3.429085868103252e-17,0.9999999993040015,1.375547918292696e-12,2.0943992911834,4,25.13274122871834,0.9974999999999999,0.9974999999999999,1,20,5,1.00534970405428e-15,-4.276982211341445e+27,-4.276982211341445e+27,-4.276982211342037e+27,1.221245323378041e-15,1.387778776471819e-15,1.958998761708958e-15,2.287085987571863e-15,0.996802520015255,0.5319148935978355,1,1,1,1,1,1,-1.55431222952977e-15,-0,-0,-19.95637331700426,0.5,1.078506214484181e+20,1.078506213733542e+20,0,0,1.078506213733542e+20,-1078325329920,9.999166665e+17,83333500000000,1000000000000000,5.285043327250353e+38,1000000000000000,1,1.375547918292696e-12,-1.749548944621247e+32,-2.763408731354536e+19,3.499097889230962e+31,-2.099458733544343e+32,2.449368522467439e+32,3.499097889230962e+31,-2.099458733544343e+32,-1.749548944621247e+32,2.449368522467439e+32,0,-2.763417064704536e+19,-1,1424515496357.742,1,1,1,1,fusion,metastable_moscovium,,1e+18,1000000000000000,200000000000000,0.2,1000000000,100000000,5000,0,0.8,0.05,1.05,0.95,0.8,1,1,1,0,0
5,0.0833335,0,0,6371999.900217804,0,0,-1.995641341819773,999.9002178041264,-1.995641341819773,engineered_metric,saucer,0,0,0,0,0,80,80,0,0,-0.999999998608003,-1.000000002783993,1,1.236292035674261e-15,16,0.1000002,0.1000001999353989,-0,0,2.34600030090647e-17,0.9999999993040015,2.463795182799067e-12,2.51327914942008,4,25.13274122871834,0.9974999999999999,0.9974999999999999,1,20,5,1.005349703988763e-15,-4.276982211341337e+27,-4.276982211341337e+27,-4.276982211343386e+27,1.221245323377899e-15,1.387778776475592e-15,1.958998761660259e-15,2.287085953282093e-15,0.996802520015255,0.531914893595797,1,1,1,1,1,1,-1.554312229529731e-15,-0,-0,-19.95637302936252,0.5,1.078506214484181e+20,1.078506213733542e+20,0,0,1.078506213733542e+20,-1078325329920,9.998999998e+17,100000200000000,1000000000000000,1.647368648240933e+38,1000000000000000,1,2.463795182799067e-12,-1.749548944621524e+32,-2.770614490758329e+19,3.499097889228643e+31,-2.099458733544389e+32,2.449368522467253e+32,3.499097889228643e+31,-2.099458733544389e+32,-1.749548944621524e+32,2.449368522467253e+32,0,-2.770624490778329e+19,-1,237421916427.0105,1,1,1,1,fusion,metastable_moscovium,,1e+18,1000000000000000,200000000000000,0.2,1000000000,100000000,5000,0,0.8,0.05,1.05,0.95,0.8,1,1,1,0,0
6,0.1000002,0,0,6371999.864185327,0,0,-2.328248221232791,999.8641853267327,-2.328248221232791,engineered_metric,saucer,0,0,0,0,0,80,80,0,0,-0.999999998608003,-1.000000002783993,1,1.236292035754136e-15,16,0.1166669,0.1166668999237989,-0,0,7.030951531111303e-18,0.9999999993040015,6.453630252440742e-12,2.932159007656761,4,25.13274122871834,0.9974999999999999,0.9974999999999999,1,20,5,1.005349703937125e-15,-4.276982211341021e+27,-4.276982211341021e+27,-4.276982211348561e+27,1.221245323377943e-15,1.387778776474009e-15,1.958998761621457e-15,2.287085925844776e-15,0.996802520015255,0.5319148936005447,1,1,1,1,1,1,-1.554312229529719e-15,-0,-0,-19.95637240590617,0.5,1.078506214484181e+20,1.078506213733542e+20,23947.64863043311,0,1.078506213733542e+20,-1078325329920,9.998833331e+17,116666900000000,1000000000000000,2.400998233154398e+37,1000000000000000,1,6.453630252440742e-12,-1.749548944621802e+32,-2.774217370460226e+19,3.499097889226319e+31,-2.099458733544434e+32,2.449368522467065e+32,3.499097889226319e+31,-2.099458733544434e+32,-1.749548944621802e+32,2.449368522467065e+32,0,-2.774229037150226e+19,-1,2124706.226682158,1,1,1,1,fusion,metastable_moscovium,,1e+18,1000000000000000,200000000000000,0.2,1000000000,100000000,5000,0,0.8,0.05,1.05,0.95,0.8,1,1,1,0,0
7,0.1166669,0,0,6371999.822609389,0,0,-2.660855116962618,999.8226093892008,-2.660855116962618,engineered_metric,saucer,0,0,0,0,0,80,80,0,0,-0.9999999986080026,-1.000000002783995,1,1.236292045472577e-15,16,0.1333336,0.1333335999121991,0,-0,6.08077500291376e-17,0.9999999993040013,5.580810979146517e-11,3.35103886589344,4,25.13274122871834,0.9974999999999999,0.9974999999999999,1,20,5,9.420554716751331e-16,4.276982211339192e+27,4.276982211339192e+27,4.276982211264998e+27,1.054711869689675e-15,1.221245322568873e-15,1.744994633729466e-15,1.628992799336265e-15,0.9968025200153444,0.5365853658871793,0,0,0,0,0,0,1.332267624603499e-15,-0,-0,-19.95636947216417,0.5,1.078506214484181e+20,1.078506213733542e+20,23947.64863043311,-16384,1.078506213733542e+20,-1078325346304,9.998666664e+17,133333600000000,1000000000000000,3.210741735803851e+35,1000000000000000,1,5.580810979146517e-11,-1.749548944622058e+32,-2.565250347750235e+19,3.499097889224171e+31,-2.099458733544475e+32,2.449368522466892e+32,3.499097889224171e+31,-2.099458733544475e+32,-1.749548944622058e+32,2.449368522466892e+32,0,-2.565263681110235e+19,-1,549751095696.0876,1,1,1,1,fusion,metastable_moscovium,,1e+18,1000000000000000,200000000000000,0.2,1000000000,100000000,5000,0,0.8,0.05,1.05,0.95,0.8,1,1,1,0,0
8,0.1333336,0,0,6371999.775489992,0,0,-2.993462149220183,999.7754899915308,-2.993462149220183,engineered_metric,saucer,0,0,0,0,0,80,80,0,0,-0.9999999986080026,-1.000000002783995,1,1.236292060617622e-15,0,0.1500003,0.1500002999005994,0,-0,5.142573429041248e-16,0.9999999993040013,5.400590241725018e-11,3.76991872413012,4,25.13274122871834,0.9974999999999999,0.9974999999999999,1,20,5,1.005349730447785e-15,4.276982211325152e+27,4.276982211325152e+27,4.276982211258641e+27,1.221245323391536e-15,1.387778775922823e-15,1.958998782061791e-15,1.843011182688704e-15,0.9968025200153529,0.531914893570784,0,0,0,0,0,0,1.554312229525755e-15,-0,-0,-19.95637804915841,0.5,1.078506214484181e+20,1.078506213733542e+20,23947.64863043311,16384,1.078506213733542e+20,-1078325329920,9.998499997e+17,150000300000000,1000000000000000,3.428605719446442e+35,1000000000000000,1,5.400590241725018e-11,2.449368522466066e+32,4.198917467088123e+32,2.449368522466981e+32,-9.159038232865623e+19,2.449368522467897e+32,2.449368522466981e+32,-9.159038232865623e+19,2.449368522466066e+32,2.449368522467897e+32,0,4.198917467088123e+32,1,949752849666.7516,1,1,1,1,fusion,metastable_moscovium,,1e+18,1000000000000000,200000000000000,0.2,1000000000,100000000,5000,0,0.8,0.05,1.05,0.95,0.8,1,1,1,0,0
9,0.1500003,0,0,6371999.722827133,0,0,-3.326069074736687,999.7228271327913,-3.326069074736687,engineered_metric,saucer,0,0,0,0,0,80,80,0,0,-0.9999999986080026,-1.000000002783995,1,1.23629204095742e-15,0,0.166667,0.1666669998889997,0,-0,1.607757715050755e-16,0.9999999993040013,6.449263970356228e-12,4.188798582366799,4,25.13274122871834,0.9974999999999999,0.9974999999999999,1,20,5,1.005349706500766e-15,4.276982211335421e+27,4.276982211335421e+27,4.276982211329992e+27,1.221245323380871e-15,1.387778776359474e-15,1.958998763614942e-15,1.842998128227092e-15,0.9968025200152679,0.5319148936020741,0,0,0,0,0,0,1.554312229529046e-15,-0,-0,-19.95637525498441,0.5,1.078506214484181e+20,1.078506213733542e+20,23947.64863043311,0,1.078506213733542e+20,-1078325329920,9.99833333e+17,166667000000000,1000000000000000,2.404250382350796e+37,1000000000000000,1,6.449263970356228e-12,2.449368522465698e+32,-3.678540175636221e+19,2.449368522466773e+32,-1.075337318101211e+20,2.449368522467848e+32,2.449368522466773e+32,-1.075337318101211e+20,2.449368522465698e+32,2.449368522467848e+32,0,-3.67855684233622e+19,-0.9999999999999991,549682413795.8915,1,1,1,1,fusion,metastable_moscovium,,1e+18,1000000000000000,200000000000000,0.2,1000000000,100000000,5000,0,0.8,0.05,1.05,0.95,0.8,1,1,1,0,0
