step,time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,altitude,vertical_vel,metric_model,ship_type,c,k,phi,phase_error,lock_quality,omega_drive,omega_0,drive_power,energy,metric_g00,metric_det,metric_signature_valid,christoffel_norm,invariant_error,coordinate_time,proper_time,beta_x,beta_y,beta_z,lapse_alpha,drive_authority,drive_phase_rad,drive_frequency_hz,drive_omega_rad_s,drive_coherence,drive_lock_quality,mode_count,bubble_radius,wall_thickness,einstein_tensor_norm,stress_energy_density,instantaneous_stress_energy_density,cycle_avg_stress_energy_density,cockpit_curvature_norm,bubble_wall_curvature_norm,cockpit_tidal_stress,bubble_wall_tidal_stress,phase_cancellation_score,phase_confinement_score,negative_energy_flag,nec_violation_flag,negative_energy_instant,negative_energy_cycle_avg,nec_violation_instant,nec_violation_cycle_avg,curvature_scalar,geodesic_accel_diagnostic_x,geodesic_accel_diagnostic_y,geodesic_accel_diagnostic_z,metric_derivative_step_m,craft_rest_energy_j,craft_coordinate_energy_j,craft_kinetic_energy_j,craft_energy_delta_j,conserved_energy_j,conserved_energy_error_j,drive_energy_available_j,drive_energy_spent_j,drive_power_w,drive_power_requested_w,drive_power_actual_w,requested_drive_authority,actual_drive_authority,estimated_metric_energy_j,estimated_field_energy_delta_j,estimated_positive_energy_j,estimated_negative_energy_j,estimated_stress_energy_cost_j,positive_energy_j,negative_energy_j,net_stress_energy_j,absolute_stress_energy_j,unfunded_energy_debt_j,conservation_error_j,conservation_error_ratio,stress_energy_conservation_residual,stress_energy_conservation_valid,power_clamped,metric_unfunded,metric_valid,power_source_type,resonator_substrate_type,exotic_stress_source_type,source_available_energy_j,source_max_power_w,usable_power_w,conversion_efficiency,waste_heat_w,radiation_loss_w,source_mass_kg,depletion_rate,stability_risk,physical_plausibility_rating,resonator_coherence_multiplier,resonator_phase_stability,resonator_coupling_efficiency,resonator_max_safe_authority,moscovium_metastable,moscovium_stabilization_required,exotic_negative_energy_capacity_j,exotic_stress_shaping_authority
0,0,0.2,0,0,9.999999999999998,0,0,-0.8,9.999999999999996,minkowski,saucer,0,0,0,0,0,80,80,0,0,-1,-1,1,0,-16,0.02,0.01999999999999999,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.881784197001252e-14,0,0,0.1,1.078506214484181e+20,1.078506214484182e+20,71842.94589129933,0,1.078506214484182e+20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,,,,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0
1,0.02,0.3999999999999997,0,0,9.999999999999998,0,0,-0.6000000000000003,9.999999999999998,minkowski,saucer,0,0,0,0,0,80,80,0,0,-1,-1,1,0,-16,0.04,0.03999999999999997,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,1.078506214484181e+20,1.078506214484182e+20,71842.94589129933,0,1.078506214484182e+20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,,,,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0
2,0.04,0.5999999999999995,0,0,9.999999999999998,0,0,-0.4000000000000005,9.999999999999998,minkowski,saucer,0,0,0,0,0,80,80,0,0,-1,-1,1,0,-16,0.06,0.05999999999999994,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,1.078506214484181e+20,1.078506214484182e+20,71842.94589129933,0,1.078506214484182e+20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,,,,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0
3,0.06,0.7999999999999994,0,0,9.999999999999998,0,0,-0.2000000000000006,9.999999999999996,minkowski,saucer,0,0,0,0,0,80,80,0,0,-1,-1,1,0,-16,0.08,0.07999999999999992,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,1.078506214484181e+20,1.078506214484182e+20,71842.94589129933,0,1.078506214484182e+20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,,,,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0
4,0.08,0.9999999999999992,0,0,9.999999999999998,0,0,-7.771561172376096e-16,9.999999999999998,minkowski,saucer,0,0,0,0,0,80,80,0,0,-1,-1,1,0,-16,0.1,0.09999999999999989,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,1.078506214484181e+20,1.078506214484182e+20,71842.94589129933,0,1.078506214484182e+20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,,,,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0
5,0.1,1.2,0,0,9.999999999999998,0,0,0.2,9.999999999999998,minkowski,saucer,0,0,0,0,0,80,80,0,0,-1,-1,1,0,-16,0.12,0.12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,1.078506214484181e+20,1.078506214484182e+20,71842.94589129933,0,1.078506214484182e+20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,,,,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0
6,0.12,1.400000000000002,0,0,9.999999999999998,0,0,0.4000000000000024,9.999999999999998,minkowski,saucer,0,0,0,0,0,80,80,0,0,-1,-1,1,0,-16,0.14,0.1400000000000002,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,1.078506214484181e+20,1.078506214484182e+20,71842.94589129933,0,1.078506214484182e+20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,,,,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0
7,0.14,1.600000000000005,0,0,9.999999999999998,0,0,0.6000000000000045,9.999999999999998,minkowski,saucer,0,0,0,0,0,80,80,0,0,-1,-1,1,0,-16,0.16,0.1600000000000004,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,1.078506214484181e+20,1.078506214484182e+20,71842.94589129933,0,1.078506214484182e+20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,,,,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0
8,0.16,1.800000000000007,0,0,9.999999999999998,0,0,0.8000000000000067,9.999999999999998,minkowski,saucer,0,0,0,0,0,80,80,0,0,-1,-1,1,0,-16,0.18,0.1800000000000006,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,1.078506214484181e+20,1.078506214484182e+20,71842.94589129933,0,1.078506214484182e+20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,,,,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0
9,0.18,2.000000000000008,0,0,9.999999999999998,0,0,1.000000000000008,9.999999999999998,minkowski,saucer,0,0,0,0,0,80,80,0,0,-1,-1,1,0,-16,0.2,0.2000000000000008,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,1.078506214484181e+20,1.078506214484182e+20,71842.94589129933,0,1.078506214484182e+20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,,,,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0
