step,time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,altitude,vertical_vel,metric_model,ship_type,c,k,phi,phase_error,lock_quality,omega_drive,omega_0,drive_power,energy,metric_g00,metric_det,metric_signature_valid,christoffel_norm,invariant_error,coordinate_time,proper_time,beta_x,beta_y,beta_z,lapse_alpha,drive_authority,drive_phase_rad,drive_frequency_hz,drive_omega_rad_s,drive_coherence,drive_lock_quality,mode_count,bubble_radius,wall_thickness,einstein_tensor_norm,stress_energy_density,instantaneous_stress_energy_density,cycle_avg_stress_energy_density,cockpit_curvature_norm,bubble_wall_curvature_norm,cockpit_tidal_stress,bubble_wall_tidal_stress,phase_cancellation_score,phase_confinement_score,negative_energy_flag,nec_violation_flag,negative_energy_instant,negative_energy_cycle_avg,nec_violation_instant,nec_violation_cycle_avg,curvature_scalar,geodesic_accel_diagnostic_x,geodesic_accel_diagnostic_y,geodesic_accel_diagnostic_z,metric_derivative_step_m,craft_rest_energy_j,craft_coordinate_energy_j,craft_kinetic_energy_j,craft_energy_delta_j,conserved_energy_j,conserved_energy_error_j,drive_energy_available_j,drive_energy_spent_j,drive_power_w,drive_power_requested_w,drive_power_actual_w,requested_drive_authority,actual_drive_authority,estimated_metric_energy_j,estimated_field_energy_delta_j,estimated_positive_energy_j,estimated_negative_energy_j,estimated_stress_energy_cost_j,positive_energy_j,negative_energy_j,net_stress_energy_j,absolute_stress_energy_j,unfunded_energy_debt_j,conservation_error_j,conservation_error_ratio,stress_energy_conservation_residual,stress_energy_conservation_valid,power_clamped,metric_unfunded,metric_valid
0,0,0,0,6371999.997228285,0,0,-0.3326068947978044,999.9972282852978,-0.3326068947978044,engineered_metric,saucer,0,0,0,0,0,80,80,0,0,-0.999999998608003,-1.000000002783993,1,1.2362920367614e-15,16,0.0166667,0.01666669998590691,0,0,7.232758769147547e-17,0.9999999993040015,3.781861114211985e-13,0.41887985823668,4,25.13274122871834,1,1,1,30,8,1.005349704442525e-15,-4.276982211341095e+27,-4.276982211341095e+27,-4.276982211340979e+27,1.221245323378522e-15,1.387778776490802e-15,1.95899876191728e-15,1.898507917320259e-15,0.996802520015255,0.5319148936034396,1,1,1,1,1,1,-1.55431222952985e-15,0,0,-19.95637377512072,0.5,1.078506214484181e+20,1.078506213733542e+20,0,537763315712,1.078506213733542e+20,537763315712,9.999833333e+17,16666700000000,1000000000000000,6.991797613858463e+39,1000000000000000,1,3.781861114211985e-13,-7.372896049655537e+32,-7.372896049655537e+32,0,-7.372896049655537e+32,7.372896049655537e+32,0,-7.372896049655537e+32,-7.372896049655537e+32,7.372896049655537e+32,0,-7.372896049655537e+32,-1,11967739.31757486,1,1,1,1
1,0.0166667,0,0,6371999.98891311,0,0,-0.665213787630785,999.988913109526,-0.6652137876307849,engineered_metric,saucer,0,0,0,0,0,80,80,0,0,-0.999999998608003,-1.000000002783993,1,1.236292036519458e-15,16,0.0333334,0.03333339997430691,0,0,6.593986036315968e-17,0.9999999993040015,3.952743753468053e-13,0.83775971647336,4,25.13274122871834,1,1,1,30,8,1.005349704352232e-15,-4.276982211341291e+27,-4.276982211341291e+27,-4.276982211341116e+27,1.221245323378405e-15,1.387778776524015e-15,1.958998761866299e-15,1.898507908649729e-15,0.996802520015255,0.5319148936137424,1,1,1,1,1,1,-1.554312229529839e-15,-0,-0,-19.95637370984598,0.5,1.078506214484181e+20,1.078506213733542e+20,0,0,1.078506213733542e+20,537763315712,9.999666666e+17,33333400000000,1000000000000000,6.400334586725147e+39,1000000000000000,1,3.952743753468053e-13,-7.372895976130872e+32,7.352466503526194e+24,0,-7.372895976130872e+32,7.372895976130872e+32,0,-7.372895976130872e+32,-7.372895976130872e+32,7.372895976130872e+32,0,7.352466503493398e+24,0.9999999999909328,33686497.48838554,1,1,1,1
2,0.0333334,0,0,6371999.975054474,0,0,-0.9978206784689247,999.9750544736162,-0.9978206784689247,engineered_metric,saucer,0,0,0,0,0,80,80,0,0,-0.999999998608003,-1.000000002783993,1,1.236292036254617e-15,16,0.0500001,0.05000009996270698,0,0,5.928617314746292e-17,0.9999999993040015,4.531582537056089e-13,1.25663957471004,4,25.13274122871834,1,1,1,30,8,1.005349704268428e-15,-4.276982211341442e+27,-4.276982211341442e+27,-4.276982211341303e+27,1.221245323378286e-15,1.387778776556551e-15,1.958998761818325e-15,1.898507900468105e-15,0.996802520015255,0.5319148936141201,1,1,1,1,1,1,-1.55431222952982e-15,-0,-0,-19.95637357731786,0.5,1.078506214484181e+20,1.078506213733542e+20,0,0,1.078506213733542e+20,537763315712,9.999499999e+17,50000100000000,1000000000000000,4.869677616967455e+39,1000000000000000,1,4.531582537056089e-13,-7.372895976131483e+32,-6.110483974416289e+19,0,-7.372895976131483e+32,7.372895976131483e+32,0,-7.372895976131483e+32,-7.372895976131483e+32,7.372895976131483e+32,0,-6.110488974426289e+19,-1,474839892836.6221,1,1,1,1
3,0.0500001,0,0,6371999.955652378,0,0,-1.330427567036783,999.9556523775682,-1.330427567036783,engineered_metric,saucer,0,0,0,0,0,80,80,0,0,-0.999999998608003,-1.000000002783993,1,1.236292035934401e-15,16,0.0666668,0.06666679995110691,-0,0,5.171406371509063e-17,0.9999999993040015,5.778296180012849e-13,1.67551943294672,4,25.13274122871834,1,1,1,30,8,1.005349704185517e-15,-4.276982211341534e+27,-4.276982211341534e+27,-4.276982211341614e+27,1.221245323378158e-15,1.38777877659058e-15,1.958998761770075e-15,1.898507892212409e-15,0.996802520015255,0.5319148936123964,1,1,1,1,1,1,-1.554312229529793e-15,-0,-0,-19.95637341708035,0.5,1.078506214484181e+20,1.078506213733542e+20,0,0,1.078506213733542e+20,537763315712,9.999333332e+17,66666800000000,1000000000000000,2.995024658093913e+39,1000000000000000,1,5.778296180012849e-13,-7.372895976132092e+32,-6.096072455608703e+19,0,-7.372895976132092e+32,7.372895976132092e+32,0,-7.372895976132092e+32,-7.372895976132092e+32,7.372895976132092e+32,0,-6.096079122288703e+19,-1,36039076.31474479,1,1,1,1
4,0.0666668,0,0,6371999.930706821,0,0,-1.663034452755298,999.930706821382,-1.663034452755298,engineered_metric,saucer,0,0,0,0,0,80,80,0,0,-0.999999998608003,-1.000000002783993,1,1.236292035660589e-15,16,0.08333349999999999,0.08333349993950678,-0,0,4.221131508984818e-17,0.9999999993040015,8.44702279689685e-13,2.0943992911834,4,25.13274122871834,1,1,1,30,8,1.005349704099296e-15,-4.276982211341545e+27,-4.276982211341545e+27,-4.276982211342238e+27,1.221245323378014e-15,1.387778776627694e-15,1.958998761718997e-15,1.898507883442474e-15,0.996802520015255,0.5319148936061942,1,1,1,1,1,1,-1.554312229529756e-15,-0,-0,-19.95637319830178,0.5,1.078506214484181e+20,1.078506213733542e+20,0,0,1.078506213733542e+20,537763315712,9.999166665e+17,83333500000000,1000000000000000,1.401498597450138e+39,1000000000000000,1,8.44702279689685e-13,-7.372895976132702e+32,-6.096072455608703e+19,0,-7.372895976132702e+32,7.372895976132702e+32,0,-7.372895976132702e+32,-7.372895976132702e+32,7.372895976132702e+32,0,-6.096080788958704e+19,-1,19122864.59270418,1,1,1,1
5,0.0833335,0,0,6371999.900217804,0,0,-1.995641334475,999.9002178041264,-1.995641334475,engineered_metric,saucer,0,0,0,0,0,80,80,0,0,-0.999999998608003,-1.000000002783993,1,1.236292035423212e-15,16,0.1000002,0.1000001999279067,-0,0,2.887760715215604e-17,0.9999999993040015,1.512917236337307e-12,2.51327914942008,4,25.13274122871834,1,1,1,30,8,1.005349704009575e-15,-4.276982211341419e+27,-4.276982211341419e+27,-4.276982211343816e+27,1.221245323377865e-15,1.387778776664971e-15,1.958998761664922e-15,1.898507874123826e-15,0.996802520015255,0.531914893586751,1,1,1,1,1,1,-1.55431222952971e-15,-0,-0,-19.95637284426038,0.5,1.078506214484181e+20,1.078506213733542e+20,0,0,1.078506213733542e+20,537763315712,9.998999998e+17,100000200000000,1000000000000000,4.36887539698924e+38,1000000000000000,1,1.512917236337307e-12,-7.372895976133313e+32,-6.110483974416289e+19,0,-7.372895976133313e+32,7.372895976133313e+32,0,-7.372895976133313e+32,-7.372895976133313e+32,7.372895976133313e+32,0,-6.110493974436289e+19,-1,474846358179.7277,1,1,1,1
6,0.1000002,0,0,6371999.864185327,0,0,-2.328248210123466,999.8641853267327,-2.328248210123466,engineered_metric,saucer,0,0,0,0,0,80,80,0,0,-0.999999998608003,-1.000000002783993,1,1.236292035521714e-15,16,0.1166669,0.1166668999163066,-0,0,8.653315610516301e-18,0.9999999993040015,3.962323738079019e-12,2.932159007656761,4,25.13274122871834,1,1,1,30,8,1.005349703938963e-15,-4.27698221134105e+27,-4.27698221134105e+27,-4.276982211349863e+27,1.221245323377911e-15,1.387778776649343e-15,1.958998761621862e-15,1.898507866631295e-15,0.996802520015255,0.5319148936320079,1,1,1,1,1,1,-1.554312229529696e-15,-0,-0,-19.95637207709081,0.5,1.078506214484181e+20,1.078506213733542e+20,23947.64863043311,0,1.078506213733542e+20,537763315712,9.998833331e+17,116666900000000,1000000000000000,6.369422935884274e+37,1000000000000000,1,3.962323738079019e-12,-7.372895976133924e+32,-6.110483974416289e+19,0,-7.372895976133924e+32,7.372895976133924e+32,0,-7.372895976133924e+32,-7.372895976133924e+32,7.372895976133924e+32,0,-6.110495641106289e+19,-1,237418850115.7587,1,1,1,1
7,0.1166669,0,0,6371999.822609389,0,0,-2.660855105853853,999.8226093892008,-2.660855105853853,engineered_metric,saucer,0,0,0,0,0,80,80,0,0,-0.9999999986080026,-1.000000002783995,1,1.236292047794071e-15,16,0.1333336,0.1333335999047069,0,-0,7.701238215979095e-17,0.9999999993040013,3.525951879642402e-11,3.35103886589344,4,25.13274122871834,1,1,1,30,8,9.420554718527856e-16,4.276982211338858e+27,4.276982211338858e+27,4.276982211249664e+27,1.054711869689966e-15,1.221245321014195e-15,1.744994633781628e-15,2.017570704012711e-15,0.9968025200153509,0.5365853662037985,0,0,0,0,0,0,1.332267624603221e-15,-0,-0,-19.95636831060162,0.5,1.078506214484181e+20,1.078506213733542e+20,23947.64863043311,-16384,1.078506213733542e+20,537763299328,9.998666664e+17,133333600000000,1000000000000000,8.043540225339763e+35,1000000000000000,1,3.525951879642402e-11,-7.372895976134612e+32,-6.874294471218325e+19,0,-7.372895976134612e+32,7.372895976134612e+32,0,-7.372895976134612e+32,-7.372895976134612e+32,7.372895976134612e+32,0,-6.874307804578325e+19,-1,22269591.24092437,1,1,1,1
8,0.1333336,0,0,6371999.775489992,0,0,-2.993462174418902,999.7754899915308,-2.993462174418902,engineered_metric,saucer,0,0,0,0,0,80,80,0,0,-0.9999999986080026,-1.000000002783995,1,1.236292066966771e-15,0,0.1500003,0.1500002998931071,0,-0,6.510141299420958e-16,0.9999999993040013,3.410582763970631e-11,3.76991872413012,4,25.13274122871834,1,1,1,30,8,1.005349742188723e-15,4.276982211321993e+27,4.276982211321993e+27,4.276982211242102e+27,1.22124532339229e-15,1.387778771677727e-15,1.958998785581261e-15,2.231578950366275e-15,0.9968025200153596,0.5319148933680566,0,0,0,0,0,0,1.554312229524895e-15,-0,-0,-19.9563791709195,0.5,1.078506214484181e+20,1.078506213733542e+20,23947.64863043311,16384,1.078506213733542e+20,537763315712,9.998499997e+17,150000300000000,1000000000000000,8.596918589870514e+35,1000000000000000,1,3.410582763970631e-11,7.37289597612545e+32,1.474579195226006e+33,7.372895976130941e+32,-5.490238962250269e+20,7.372895976136432e+32,7.372895976130941e+32,-5.490238962250269e+20,7.37289597612545e+32,7.372895976136432e+32,0,1.474579195226006e+33,1,949648838401.7007,1,1,1,1
9,0.1500003,0,0,6371999.722827133,0,0,-3.326069106824059,999.7228271327913,-3.326069106824059,engineered_metric,saucer,0,0,0,0,0,80,80,0,0,-0.9999999986080026,-1.000000002783995,1,1.236292041928227e-15,0,0.166667,0.1666669998815074,0,-0,1.979551414896372e-16,0.9999999993040013,3.961264087857605e-12,4.188798582366799,4,25.13274122871834,1,1,1,30,8,1.005349707435113e-15,4.276982211334512e+27,4.276982211334512e+27,4.27698221132817e+27,1.221245323380933e-15,1.221245322561046e-15,1.958998763831347e-15,1.958999211198561e-15,0.9968025200152686,0.5000000000501611,0,0,0,0,0,0,1.554312229528904e-15,-0,-0,-19.95637558430053,0.5,1.078506214484181e+20,1.078506213733542e+20,23947.64863043311,0,1.078506213733542e+20,537763315712,9.99833333e+17,166667000000000,1000000000000000,6.372831071778178e+37,1000000000000000,1,3.961264087857605e-12,6.144079980103044e+32,-1.228815996022406e+32,7.372895976131043e+32,-1.228815996027998e+32,8.601711972159041e+32,7.372895976131043e+32,-1.228815996027998e+32,6.144079980103044e+32,8.601711972159041e+32,0,-1.228815996022406e+32,-1,49165017.74934813,1,1,1,1
