step,time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,altitude,vertical_vel,g_raw_x,g_raw_y,g_raw_z,g_raw_mag,g_eff_x,g_eff_y,g_eff_z,g_eff_mag,c,k,phi,phase_error,lock_quality,omega_drive,omega_0,drive_power,energy,grav_power
0,0,0,0,6371999.999975569,0,0,-0.002443127096218863,999.9999755686149,-0.002443127096218863,0,0,-9.816891441645398,9.816891441645398,0,0,-0.2443127096218863,0.2443127096218863,0.02488697273206653,0.007612347201070549,0.3994009893548816,0.3494009893548816,0.982,82.68339959824549,80,3540.28591807639,1499964.597140819,0.7162644009934573
10,0.1,0,0,6371999.996975101,0,0,-0.05714754432209154,999.9969751005992,-0.05714754432209154,0,0,-9.816891449205032,9.816891449205032,0,0,-0.8088346719916344,0.8088346719916344,0.08239213769213405,0.07665983922399396,0.3833791962901865,-0.1666208037098135,0.9878379961398096,78.89380986275054,80,2973.892601828421,1499642.175969104,55.46749832026356
20,0.2,0,0,6371999.983610764,0,0,-0.2202845247353169,999.9836107641459,-0.2202845247353169,0,0,-9.816891485357344,9.816891485357344,0,0,-2.364053008200471,2.364053008200471,0.2408148253168164,0.1333920849241143,0.5846419523357644,-0.4653580476642354,0.8542042594466399,76.03030310839026,80,2461.278996892815,1499373.412143048,624.9171520326444
30,0.3,0,0,6371999.945930831,0,0,-0.5116772670658269,999.9459308311343,-0.5116772670658268,0,0,-9.816891592480415,9.816891592480415,0,0,-2.984087422189416,2.984087422189416,0.3039747759336754,0.1752878487283613,0.9193328999417654,-0.6306671000582353,0.7788007830714049,75,80,1999.294935895759,1499153.096445577,1832.267636245667
40,0.4,0,0,6371999.878935969,0,0,-0.7945649093127343,999.8789359685034,-0.7945649093127343,0,0,-9.816891790192448,9.816891790192448,0,0,-2.671090527616935,2.671090527616935,0.2720912672466742,0.1992913048834589,1.236721464585666,-0.6815103809136873,0.7788007830714049,75,80,1584.867990207951,1498976.344222039,2546.825763410465
50,0.5,0,0,6371999.785747269,0,0,-1.037357382307457,999.7857472691685,-1.037357382307457,0,0,-9.816892069849931,9.816892069849931,0,0,-2.217986023538699,2.217986023538699,0.2259356635233543,0.2061176741155534,1.541285996598195,-0.4972880788270646,0.7788007830714049,75,80,1216.583365030671,1498838.492435739,2761.013010447157
60,0.6,0,0,6371999.670852596,0,0,-1.233342181344441,999.6708525959402,-1.233342181344441,0,0,-9.816892417831431,9.816892417831431,0,0,-1.756783156344243,1.756783156344243,0.1789551195603628,0.1983107023669951,1.847849907248367,-0.2945748966379647,0.7788007830714049,75,80,894.6263231446081,1498734.927949179,2600.057724233736
70,0.7000000000000001,0,0,6371999.538713836,0,0,-1.388165273858324,999.5387138361111,-1.388165273858324,0,0,-9.816892820214756,9.816892820214756,0,0,-1.39986333565728,1.39986333565728,0.1425973942360569,0.179533539183153,2.167792678424383,-0.06250038983835626,0.7788007830714049,75,80,620.2286931972967,1498660.956089981,2331.890004848297
80,0.8,0,0,6371999.394895195,0,0,-1.455837347659749,999.3948951950297,-1.455837347659749,0,0,-9.816893261272208,9.816893261272208,0,0,-0.0165028398561545,0.0165028398561545,0.00168106542639701,0.1546510510944959,2.450691333998182,0.1714194571340419,0.8920051002030951,76.61941678549397,80,395.0745543003975,1498611.730921762,28.83054072604508
90,0.9,0,0,6371999.251347695,0,0,-1.407872462156865,999.251347694546,-1.407872462156865,0,0,-9.816893705057309,9.816893705057309,-0,-0,0.7593467219428277,0.7593467219428277,-0.07735101802636812,0.1304166378923495,2.58467138851884,0.3259560532001546,0.969967017158835,78.25376945989777,80,220.792458330052,1498582.232337981,-1282.876006862871
