step,time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,altitude,vertical_vel,g_raw_x,g_raw_y,g_raw_z,g_raw_mag,g_eff_x,g_eff_y,g_eff_z,g_eff_mag,c,k,phi,phase_error,lock_quality,omega_drive,omega_0,drive_power,energy,grav_power
0,0,0,0,6371999.999963865,0,0,-0.003613561019539728,999.9999638646841,-0.003613561019539728,0,0,-9.816891441645398,9.816891441645398,0,0,-0.3613561019539728,0.3613561019539728,0.03680962594951609,0.007620009623115055,0.399413451508756,0.359413451508756,0.97,82,80.0025,3724.805268825061,1699962.751947312,1.56693878903244
10,0.1,0,0,6371999.993668653,0,0,-0.1083835457797149,999.9936686530709,-0.1083835457797149,0,0,-9.816891457814339,9.816891457814339,0,0,-0.8023717903619133,0.8023717903619133,0.08173379463447339,0.07714639565365858,0.3668980999933629,-0.07310190000663708,0.9895236677952503,79.73425683848991,80.02749999999997,3199.060698650466,1699619.574388026,104.3566796076507
20,0.2,0,0,6371999.97358844,0,0,-0.3172455401304951,999.9735884396359,-0.3172455401304951,0,0,-9.8168915132511,9.8168915132511,0,0,-3.177457997315004,3.177457997315004,0.3236725182330871,0.1353326808125632,0.4813715853172145,-0.3586284146827854,0.7685134107328871,78,80.05249999999995,2718.650750813171,1699326.452615085,1209.641254320191
30,0.3,0,0,6371999.923768577,0,0,-0.6499308032801655,999.9237685771659,-0.6499308032801655,0,0,-9.816891656508112,9.816891656508112,0,0,-3.42949526274993,3.42949526274993,0.3493463494095247,0.1823421326359051,0.6249360059936677,-0.6150639940063325,0.7635700647984338,78,80.07749999999993,2280.755527659049,1699079.012228365,2674.721533157501
40,0.4,0,0,6371999.83957328,0,0,-1.000894194198355,999.8395732799545,-1.000894194198355,0,0,-9.816891905121556,9.816891905121556,0,0,-3.557721600756318,3.557721600756318,0.362408146604958,0.2183630201018954,0.751742034495277,-0.8882579655047238,0.758599248305425,78,80.10249999999991,1883.1547605616,1698873.129931161,4273.083473725291
50,0.5,0,0,6371999.719822702,0,0,-1.358592896187131,999.7198227019981,-1.358592896187131,0,0,-9.816892263082527,9.816892263082527,0,0,-3.577855155407654,3.577855155407654,0.3644590425895332,0.2440244215921656,0.8737000746003609,-1.16629992539964,0.7536019142180342,78,80.12749999999988,1524.352791191516,1698704.864237706,5833.018317268009
60,0.6,0,0,6371999.564398466,0,0,-1.713210678315035,999.5643984656781,-1.713210678315035,0,0,-9.816892731058248,9.816892731058248,0,0,-3.508271320931557,3.508271320931557,0.3573708521671266,0.2601273044500266,0.99548309732966,-1.418078267115174,0.7485790154542147,78,80.15249999999986,1203.497059921816,1698570.38705597,7212.489467335606
70,0.7000000000000001,0,0,6371999.374058694,0,0,-2.056865985918357,999.3740586936474,-2.056865985918357,0,0,-9.816893306955633,9.816893306955633,0,0,-3.368954907871321,3.368954907871321,0.343179334085692,0.2675910862356617,1.11985251133006,-1.573865254657077,0.7435315045892168,78,80.17749999999984,920.2749475650381,1698465.924959277,8315.38650971188
80,0.8,0,0,6371999.15023797,0,0,-2.383716097295577,999.1502379700541,-2.383716097295577,0,0,-9.816893986534396,9.816893986534396,0,0,-3.180474119183571,3.180474119183571,0.3239796745840541,0.267440891007076,1.249116400917306,-1.840493751506898,0.7384603335612022,78,80.20249999999982,674.8024365370552,1698387.711273126,9097.616825915818
90,0.9,0,0,6371998.894842402,0,0,-2.689961804490577,998.8948424020782,-2.689961804490577,0,0,-9.816894764038434,9.816894764038434,0,0,-2.963017245487231,2.963017245487231,0.3018283598538156,0.2608086379746422,1.385734246025146,-1.755858407564647,0.7333664533790806,78,80.22749999999979,467.5105249891924,1698331.949467608,9564.483859689035
100,1,0,0,6371998.610049319,0,0,-2.973760954287405,998.6100493194535,-2.973760954287405,0,0,-9.816895632815621,9.816895632815621,0,0,-2.735528866422518,2.735528866422518,0.2786551847692335,0.2489453129611591,1.53269442616078,-1.608898227429013,0.728250813832689,78,80.25249999999977,299.0350219336112,1698294.787766894,9761.770718752043
110,1.1,0,0,6371998.29811379,0,0,-3.235335601557771,998.2981137903407,-3.235335601557771,0,0,-9.816896585910687,9.816896585910687,0,0,-2.524914857494557,2.524914857494557,0.2572009224502112,0.2337331216396286,1.687527975846978,-1.454064677742815,0.7231143632054335,78,80.27749999999975,263.1987419368836,1698268.905515859,9802.736315225169
120,1.2,0,0,6371997.961057321,0,0,-3.478983063528822,997.9610573211685,-3.478983063528822,0,0,-9.81689761696248,9.81689761696248,0,0,-2.373538609841282,2.373538609841282,0.2417809273817909,0.2174597759032988,1.831617006554128,-1.309975647035666,0.7179580479895108,78,80.30249999999972,294.4974332238777,1698240.870454121,9909.000749123476
130,1.3,0,0,6371997.600330709,0,0,-3.710938484556799,997.6003307085484,-3.710938484556799,0,0,-9.816898721308618,9.816898721308618,0,0,-2.284645301166017,2.284645301166017,0.2327257686999411,0.2001029973243845,1.962807121143101,-1.178785532446692,0.7127828126038238,78,80.3274999999997,326.8341481363215,1698209.653446373,10173.8138059906
140,1.4,0,0,6371997.216763676,0,0,-3.937334121900715,997.2167636761442,-3.937334121900715,0,0,-9.816899896203598,9.816899896203598,0,0,-2.255702356910382,2.255702356910382,0.229777463431476,0.1816478543123951,2.079784583826164,-1.061808069763629,0.7075895991147061,78,80.35249999999968,360.9652802964458,1698175.111427938,10657.74463045814
150,1.5,0,0,6371996.810592558,0,0,-4.163903020833851,996.8105925582349,-4.163903020833851,0,0,-9.816901140742598,9.816901140742598,0,0,-2.281596517753285,2.281596517753285,0.2324151465969325,0.162226295692262,2.180052017041255,-0.9615406365485386,0.7023793469595618,78,80.37749999999966,397.8816544682752,1698137.012003516,11400.41595911628
160,1.6,0,0,6371996.381513318,0,0,-4.395749103036581,996.3815133180469,-4.395749103036581,0,0,-9.816902455705206,9.816902455705206,0,0,-2.35515569207903,2.35515569207903,0.2399082299845308,0.1421155700939986,2.259135840388404,-0.8824568132013888,0.6971529926735339,78,80.40249999999963,438.7181932184527,1698095.015078722,12423.20822516147
170,1.7,0,0,6371995.92875453,0,0,-4.637172505371859,995.9287545299158,-4.637172505371858,0,0,-9.816903843335936,9.816903843335936,0,0,-2.467722070129367,2.467722070129367,0.2513747826718854,0.1217739070667085,2.309197244377832,-0.8323954092119603,0.6919114696193024,78,80.42749999999961,484.676650766466,1698048.66280595,13731.90352140387
180,1.8,0,0,6371995.45116463,0,0,-4.891553639277402,995.4511646302417,-4.891553639277401,0,0,-9.816905307078949,9.816905307078949,0,0,-2.609746298429215,2.609746298429215,0.2658420568187952,0.101947217873986,2.316620991589123,-0.8249716620006708,0.6866557077201169,78,80.45249999999959,536.9602049193002,1697997.376586965,15318.85680440658
190,1.9,0,0,6371994.94730749,0,0,-5.161296416401608,994.9473074898124,-5.161296416401608,0,0,-9.816906851285319,9.816906851285319,0,0,-2.771372664257003,2.771372664257003,0.2823060976578533,0.08391200563105151,2.258808912531341,-0.8827837410584518,0.6813866331961661,78,80.47749999999957,596.7174478961775,1697940.46007817,17164.65096065166
200,2,0,0,6371994.415560523,0,0,-5.447828161301952,994.415560523048,-5.447828161301952,0,0,-9.816908480910746,9.816908480910746,0,0,-2.942986924161479,2.942986924161479,0.2997875481761085,0.06989680529632128,2.106126559637931,-1.035466093951862,0.6761051683043779,78,80.50249999999954,664.9935787849878,1697877.107386776,19239.46445254838
210,2.1,0,0,6371993.854209917,0,0,-5.751651056223171,993.8542099166662,-5.751651056223171,0,0,-9.816910201220535,9.816910201220535,0,0,-3.115701540305105,3.115701540305105,0.3173810777975468,0.06318666190479334,1.853079452215272,-1.288513201374521,0.6708122310817507,78,80.52749999999952,742.6878816083106,1697806.415801253,21504.51366620642
220,2.2,0,0,6371993.26153821,0,0,-6.072437671925816,993.2615382103249,-6.072437671925816,0,0,-9.816912017516806,9.816912017516806,0,0,-3.281757491237032,3.281757491237032,0.3342963128712194,0.06615490429199061,1.575224385703109,-1.566368267886684,0.6655087350923043,78,80.5524999999995,830.5182423643129,1697727.402399759,23913.92138389501
